isosmiles,cmpdname,estimated_sys_score
CC(C)[C@@H](C(=O)O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CC2=CNC3=CC=CC=C32)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC4=CC=CC=C4)NC(=O)[C@H](CC5=CN=CN5)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CO)NC(=O)[C@H](CC6=CC=C(C=C6)O)NC(=O)[C@H](CO)N,Tridecactide,235.9120376685881
CSCC[C@@H](C(=O)O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CNC(=O)CNC(=O)[C@H](CC2=CC=C(C=C2)O)N,MET-enkephalin,135.97812043049683
CC(C)C(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@H]4[C@H]3CCC5=CC(=O)C=C[C@]45C)O)C)O[C@H](O2)C6CCCCC6,Ciclesonide,-43.703432529426735
CC1=CC(=CC2=C1NN=C2)C[C@H](C(=O)N3CCN(CC3)C4CCN(CC4)C)NC(=O)N5CCC(CC5)C6=CC7=CC=CC=C7NC6=O,Zavegepant,121.08986466398704
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,Ibuprofen,59.90642902385133
C[C@@H]1CC[C@@H](C(=O)CN1S(=O)(=O)C2=CC=CC=N2)NC(=O)[C@H](CC(C)C)NC(=O)C3=CC4=CC=CC=C4O3,Relacatib,110.7553232555344
CN1C2=C(C=CC(=C2)C3=CC=C(C=C3)C[C@@H](C#N)NC(=O)[C@@H]4CNCCCO4)OC1=O,Brensocatib,39.27211554061519
CC1=CC(=CC(=C1C(=O)NC(CNC(=O)CNC(=O)C2=CC(=CC=C2)N=C(N)N)C(=O)OC(C)C(C)C3=CC(=C(C=C3[N+](=O)[O-])OC)OC)C)OCCCN=[N+]=[N-],"3-(4,5-Dimethoxy-2-nitrophenyl)butan-2-yl 2-[[4-(3-azidopropoxy)-2,6-dimethylbenzoyl]amino]-3-[[2-[[3-(diaminomethylideneamino)benzoyl]amino]acetyl]amino]propanoate",183.848781925702
CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,Enoxaparin,5.852134803292183
CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N,Camostat,150.64900769158106
C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,Ribavirin,0.9742602943909242
CC[C@@H](C(=O)C(=O)NC1CC1)NC(=O)[C@H](CS(=O)(=O)CC2CC2)N[C@@H](C3=CC=C(C=C3)F)C(F)(F)F,"(3S)-N-cyclopropyl-3-[[(2R)-3-(cyclopropylmethylsulfonyl)-2-[[(1S)-2,2,2-trifluoro-1-(4-fluorophenyl)ethyl]amino]propanoyl]amino]-2-oxopentanamide",90.54013026608432
C[C@@H]1CS/C(=N\\NC(=O)C(=O)[C@H](C2CCOCC2)NC(=O)C3CCCCCC3)/N1C,"N-[(1S)-3-[(2Z)-2-[(4R)-3,4-Dimethyl-1,3-thiazolidin-2-ylidene]hydrazinyl]-1-(oxan-4-yl)-2,3-dioxopropyl]cycloheptanecarboxamide",54.33629581149248
C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,Sirolimus,-174.2910504211771
C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,Thalidomide,-2.755771517249736
C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O,Ambroxol,43.65774726998177
CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,Imatinib,222.13852685386243
CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)CC5=CC=CC=C5,Cobicistat,191.58319513555583
C1=CN=C(C=N1)NNC(=O)/C=C\\N2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,Selinexor,63.7826456008507
C[C@H]([C@@H](CC1=CC(=CC=C1)C(=N)N)C(=O)OC)NC(=O)C2=CC=C(C=C2)C3=CC=[N+](C=C3)[O-],Otamixaban,96.83603065727756
CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,"N-(1,2,3,10-Tetramethoxy-9-oxo-5,6,7,9-tetrahydrobenzo[a]heptalen-7-yl)acetamide",77.69141210177717
C1=NC2=C(N=C(N=C2N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(CP(=O)(O)O)O)O)O)I)N,2-Iodoadenosine-5'-O-[(phosphonomethyl)phosphonic Acid],44.29036599159319
C1=CC(=CC=C1C(=O)OC2=CC3=C(C=C2)C=C(C=C3)C(=N)N)N=C(N)N,Nafamostat,91.28859921459956
C1C2CC3(CC1CC(C2)(C3)C(=O)NCC4=CC=NC=C4)C5=CC=C(C=C5)Cl,3-(4-chlorophenyl)-N-(pyridin-4-ylmethyl)adamantane-1-carboxamide,71.66871685658042
CCCCCCCCCCCCCCCC(=O)N[C@@H](CCC(=O)NCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC(=O)NCCCC[C@@H](C(=O)O)NC(=O)[C@H](C1CCCCC1)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC3=CC=C(C=C3)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC4=CNC5=C4C=CC=N5)NC(=O)[C@H](CC6=CC=C(C=C6)O)NC(=O)[C@H](C(C)(C)C)NC(=O)[C@H](CC(=O)O)N(C)C(=O)[C@@H]7CC(=O)NCCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N7)CC8=CC=CC=C8)CCCNC(=N)N)CCC(=O)O)C(C)C)NC(=O)C)C(=O)O,Zilucoplan,307.1721929790092
C1CCN(C1)[C@H]2CCC3=C(CC2)C=C(C=C3)NC4=NN(C(=N4)N)C5=NN=C6C(=C5)CCCC7=CC=CC=C76,Bemcentinib,63.70125844186296
CC#CC(=O)N1CCC[C@H]1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,Acalabrutinib,94.97360507402988
CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,Colchicine,77.69141210177717
CC[C@H](C)[C@@H](C(=O)N[C@@H](CC1=CN=CN1)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(=O)O)NC(=O)[C@H](CC3=CC=C(C=C3)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC,"D-Alanine, N-methylglycyl-L-arginyl-L-valyl-L-tyrosyl-L-isoleucyl-L-histidyl-L-prolyl-",137.81038998536792
CCCCOCCOC1=CC=C(C=C1)C2=CC/3=C(C=C2)N(CCC/C(=C3)/C(=O)NC4=CC=C(C=C4)[S@@](=O)CC5=CN=CN5CCC)CC(C)C,Cenicriviroc,152.19540423668127
CCOC1=C(C=CC(=C1)[C@@H](CS(=O)(=O)C)N2C(=O)C3=C(C2=O)C(=CC=C3)NC(=O)C)OC,Apremilast,91.9929290400218
CC(C)C[C@@H](C(=O)N[C@@H](CC1CCNC1=O)C(O)S(=O)(=O)O)NC(=O)OCC2=CC=CC=C2,Unii-O9H5KY11SV,78.95355779728825
COC1=CC=CC(=C1)C2=CC(=C(C=C2)NC(=O)C3=C(CCC3)C(=O)O)F,Vidofludimus,59.88890356302349
CC(C)C[C@@H](C(=O)N[C@@H](CC1CCNC1=O)C=O)NC(=O)OCC2=CC=CC=C2,"Carbamic acid, N-[(1S)-1-[[[(1S)-1-formyl-2-(2-oxo-3-pyrrolidinyl)ethyl]amino]carbonyl]-3-methylbutyl]-, phenylmethyl ester",68.56133584660313
CC(C(C1=CC=C(C=C1)O)O)N2CCC(CC2)CC3=CC=CC=C3,Ifenprodil,83.24772074747112
CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1O[C@H]2[C@@H]([C@H]([C@@H](O[C@@H]2C(=O)O)O[C@H]3[C@@H]([C@H]([C@H](O[C@@H]3O)O[C@H]4[C@@H]([C@H](C(O[C@H]4C(=O)O)O)OS(=O)(=O)O)O)OS(=O)(=O)O)CS(=O)(=O)O)O)O)COS(=O)(=O)O)O)O,Sodium heparin,-0.0645662867245446
CN1CCN(CC1)C2=C(C=C(C=C2)NC3=NC4=C(C=CN4)C(=N3)OC5=CC=CC(=C5)NC(=O)C=C)F,Abivertinib,129.88146162894165
CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@@H]3[C@H]([C@H]2/C=C/C4=NC=C(C=C4)C5=CC(=CC=C5)F)[C@H](OC3=O)C,Vorapaxar,-0.359174766805773
C1CC[C@H]2[C@@H](C1)CC(N2C(=O)C3CC4=CC=CC=C4CN3C(=O)[C@H](CO)NC(=O)[C@H](CC5=CC=CS5)NC(=O)CNC(=O)C6C[C@H](CN6C(=O)C7CCCN7C(=O)C(CCCN=C(N)N)NC(=O)[C@@H](CCCN=C(N)N)N)O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O,Firazyr,139.91007235489585
CC1=C(C2=C(C=CC(=C2)F)N=C1C3=CC=C(C=C3)C4=CC=CC=C4F)C(=O)O,Brequinar,56.62465536945041
CC(C)(C)C(=O)OCON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C=C)C(=O)O,"7-[[2-(2-Amino-1,3-thiazol-4-yl)-2-(2,2-dimethylpropanoyloxymethoxyimino)acetyl]amino]-3-ethenyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",-10.390306269202917
CC1=C(C=C(S1)C(=O)C2=CN=CN=C2N[C@@H]3C[C@@H]([C@H](C3)O)COS(=O)(=O)N)[C@H]4C5=C(CCN4)C=CC(=C5)Cl,"[(1R,2S,4R)-4-[[5-[[4-((1R)-7-Chloro-1,2,3,4-tetrahydroisoquinolin-1-yl)-5-methylthien-2-yl]carbonyl]pyrimidin-4-yl]amino]-2-hydroxycyclopentyl]methyl sulfamate",32.090281501648874
CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)C)OC(=O)CCCCCCC/C=C\\C/C=C\\CCCCC,1-Palmitoyl-2-linoleoyl-3-acetyl-rac-glycerol,112.8445386671231
CC1=C(C2=NC1=CC3=C(C(=C4N3[Sn](N5C(=CC6=NC(=C4)C(=C6C)C=C)C(=C(C5=C2)CCC(=O)O)C)(Cl)Cl)C)C=C)CCC(=O)O,"3-[20-(2-Carboxyethyl)-22,22-dichloro-9,14-bis(ethenyl)-5,10,15,19-tetramethyl-21,23,24,25-tetraza-22-stannahexacyclo[9.9.3.13,6.113,16.08,23.018,21]pentacosa-1,3(25),4,6,8,10,12,14,16(24),17,19-undecaen-4-yl]propanoic acid",-59.619937342507846
CC1=CC(=O)C(=CC1=O)C(C)C,Thymoquinone,7.385237823524239
CCCCCCCC/C=C\\CCCCCCCC(=O)NCCO,n-Oleoylethanolamine,86.40861917723682
CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C,Boceprevir,21.14016947748329
CC1=C(C(=C(C(=C1O)OC)OC)O)C/C=C(\\C)/CC/C=C(\\C)/CC/C=C(\\C)/CC/C=C(\\C)/CC/C=C(\\C)/CC/C=C(\\C)/CC/C=C(\\C)/CC/C=C(\\C)/CC/C=C(\\C)/CCC=C(C)C,Ubiquinol-10,43.70352710654233
CC\\1=C(/C(=C/C2=C(C(=C(N2)/C=C\\3/C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)/N/C1=C\\C4=NC(=O)C(=C4C)C=C)CCC(=O)O,Biliverdin,-45.039779216478905
[Pb],Lead,9.095705251905136
CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)/C=C\\3/C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)/C=C/4\\C(=C(C(=O)N4)C=C)C,"4E,15Z-Bilirubin IXa",-34.86074151814848
CC(=CCC/C(=C/CC/C(=C\\CC/C(=C\\CC/C(=C\\CC/C(=C\\CC/C(=C\\CC/C(=C\\CC/C(=C\\CC/C(=C\\COP(=O)(O)OP(=O)(O)O)/C)/C)/C)/C)/C)/C)/C)/C)/C)C,Decaprenyl diphosphate,39.92670251776986
CC1=C(C(=O)C(=C(C1=O)OC)OC)C/C=C(\\C)/CC/C=C(\\C)/CC/C=C(\\C)/CC/C=C(\\C)/CC/C=C(\\C)/CC/C=C(\\C)/CC/C=C(/C)\\CC/C=C(\\C)/CC/C=C(\\C)/CCC=C(C)C,Ubisemiquinone,19.240928939192116
CC(=CCC/C(=C/CC/C(=C/CC/C=C(\\C)/CC/C=C(/C)\\CCC=C(C)C)/C)/C)C,"(E,E,E,E)-Squalene",30.85245616456164
C1=C(C(=C(N1)CC2=C(C(=C(N2)CC3=C(C(=C(N3)CC4=C(C(=C(N4)CO)CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-],Preuroporphyrinogen(8-),42.30846754061226
CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)(O)O[C@H](C)CNC(=O)CC[C@@]\\4([C@H](C5[C@]6([C@@]([C@@H](C(=N6)/C(=C\\7/[C@@]([C@@H](C(=N7)/C=C\\8/C([C@@H](C(=N8)/C(=C4\\[N-]5)/C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)/C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[Co],vitamin B12s,-13.556328580589325
CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\\C)/CCC(=O)O)O,Mycophenolic acid,11.36315560551879
CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@@]\\4([C@H]([C@@H]5[C@]6([C@@]([C@@H](C(=N6)/C(=C\\7/[C@@]([C@@H](C(=N7)/C=C\\8/C([C@@H](C(=N8)/C(=C4\\[N-]5)/C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)/C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[CH2-][C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co],Adenosylcobalamin,1.5261714553361987
C[N+](C)(C)CC=O,Betaine aldehyde,10.432483013319336
CC(C1=CC=C(C=C1)OC)N[NH3+].C(=O)(C(=O)[O-])O,1-(p-Methoxy-alpha-methylbenzyl)hydrazine,39.90025782914257
[3H]CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O,Thymidine-methyl-T,15.072609664540472
C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])[O-])O)O,UMP dianion,36.04914380913528
CC(C)CC(=O)C(=O)[O-],4-Methyl-2-oxopentanoate,22.61408060339209
C=C(C(=O)[O-])OP(=O)([O-])[O-],Phosphonatoenolpyruvate,6.8154490328427695
C1=CC(=C(C=C1CC[NH3+])O)O,Intropin,45.07129253907816
C1=CC2=C(C=C1O)C(=CN2)CC[NH3+],Serotonin(1+),58.71953466863998
C1=CC=C(C=C1)CC(=O)C(=O)[O-],2-Oxo-3-phenylpropanoate,45.55167634187205
C(CC(=O)O)C(=O)C(=O)[O-],2-Oxoglutarate(1-),6.78318549041024
[C@H]([C@@H]([C@@H](C(=O)[O-])O)O)([C@H](C(=O)[O-])O)O,D-glucarate,10.857244073637135
C(C(=O)CC(=O)[O-])C(=O)/C=C/C(=O)[O-],4-Fumarylacetoacetate(2-),13.666214785004744
C1=CC(=C(C=C1CC(=O)[O-])O)O,"(3,4-Dihydroxyphenyl)acetate",47.61669347956834
O[Se](=O)(=O)[O-],Hydrogenselenate,8.961268448195792
C(CS(=O)(=O)[O-])N,2-Aminoethanesulfonate,3.411619851652198
CC[C@H](C)C(=O)C(=O)[O-],(S)-3-methyl-2-oxovalerate,17.663265728392776
C1=CC(=CC=C1CC(=O)C(=O)[O-])O,3-(4-Hydroxyphenyl)pyruvate,41.344591015553256
C([C@@H](C(=O)[O-])[NH3+])[C@H](C(=O)[O-])O,erythro-4-hydroxy-L-glutamate(1-),17.27009326709073
C([C@H](COP(=O)([O-])[O-])O)O,Sn-glycerol 3-phosphate(2-),27.38784732877339
C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])[O-])O)O,Cytidine-monophosphate,28.38733589311257
C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)([O-])[O-])O,dCMP dianion,31.557098464092643
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)(O)[O-])O)O)N,"[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxidophosphoryl]oxy-oxidophosphoryl] hydrogen phosphate",34.64939343204607
C1CC(N=C1)C(=O)[O-],"3,4-Dihydro-2H-Pyrrole-2-carboxylate",-10.03206360846588
CC(=C)CCOP(=O)([O-])OP(=O)([O-])[O-],3-Methylbut-3-enyl pyrophosphate,19.25900334593644
[H+].C1=CC(=C(N=C1)C(=O)[O-])C(=O)[O-],"Hydrogen pyridine-2,3-dicarboxylate",47.61587355112068
C(CC(C(=O)[O-])[NH3+])C[NH3+],"2,5-Diammoniopentanoate",32.25707720502201
CC(C)(COP(=O)([O-])[O-])[C@H](C(=O)NCCC(=O)[O-])O,(R)-4'-phosphonatopantothenate(3-),53.10774873264834
C([C@@H]1[C@H]([C@@H](C(O1)(COP(=O)([O-])[O-])O)O)O)OP(=O)([O-])[O-],"D-fructofuranose 1,6-bisphosphate(4-)",-6.280194888749596
C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,NADH dianion,-4.208030751524103
C([C@@H]1[C@H]([C@@H]([C@H](C(O1)OP(=O)([O-])[O-])O)O)O)O,D-glucopyranose 1-phosphate(2-),25.555166107934927
C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])[O-])O)O)C(=O)N,"[(2R,3S,4R,5R)-5-(3-carbamoylpyridin-1-ium-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphate",54.89983274049034
C[S+](CC[C@@H](C(=O)[O-])[NH3+])C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O,AdoMet,28.7895458666192
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)[O-])C)C,"3,7-Dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraenoate",-12.66283641551009
C([C@H](C=O)O)OP(=O)([O-])[O-],D-glyceraldehyde 3-phosphate(2-),8.340689899916997
CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O,Lauroyl coenzyme A,86.13249673675766
C1=C(NC=N1)CC[NH3+],Histaminium,30.12486548804803
C1C2=C(C(=C(N2)CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C1N5)CCC(=O)[O-])CC(=O)[O-])CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-],uroporphyrinogen III(8-),23.72049086587176
CN1C=C(N=C1)CC[NH3+],N(tele)-methylhistaminium,35.56496835126266
CC(C)(COP(=O)([O-])[O-])[C@H](C(=O)NCCC(=O)N[C@@H](CS)C(=O)[O-])O,N-[(R)-4-phosphonatopantothenoyl]-L-cysteinate(3-),66.89425562581991
CC\\1=C(/C(=C/C2=C(C(=C(N2)/C=C\\3/C(=C(C(=O)N3)C)C=C)C)CCC(=O)[O-])/N/C1=C\\C4=NC(=O)C(=C4C)C=C)CCC(=O)[O-],"3-[(2E,5Z)-2-[[3-(2-carboxyethyl)-5-[(Z)-(3-ethenyl-4-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-2-yl]methylidene]-5-[(4-ethenyl-3-methyl-5-oxopyrrol-2-yl)methylidene]-4-methylpyrrol-3-yl]propanoic acid",-25.74023576686329
C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)([O-])OP(=O)([O-])[O-])O,dUDP trianion,33.210527840109336
C(CC=O)C[C@@H](C(=O)[O-])[NH3+],(S)-2-Amino-6-oxohexanoate,11.58524592100274
C[C@@H](CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O)O,(S)-3-hydroxybutanoyl-CoA(4-),60.94843958266186
C/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O,crotonoyl-CoA(4-),47.70064514287941
CCC(C)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O,2-methylbutanoyl-CoA(4-),65.79773142617323
CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])[C@H](C(=O)NCCC(=O)NCCSC(=O)CC(=C)C(=O)[O-])O,itaconyl-CoA(5-),50.60282536540376
CCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O,propanoyl-CoA,55.74985707429114
